unique_id,ds,current_1_stack,room_temperature,h2_side_outlet_temp_1_stack,o2_side_outlet_temp_1_stack,lye_supply_to_electrolyzer_temp,lye_concentration,dm_water_conductivity,lye_flow_to_1_stack,dm_water_flow_from_b_l,o2_separator_level,ldi_h2_o2_separator,pressure_o2_separator,o2_content_in_h2,h2_content_in_o2,h2_flowrate_purification_outlet,minute,hour,dayofweek,is_weekend,power_intensity
stack1_h2_separator_level,2025-01-01 00:26:00,0.0,24.75,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:27:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:28:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:29:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:30:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:31:00,0.0,24.75,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:32:00,0.0,24.5,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:33:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:34:00,0.0,25.75,25.75,25.75,25.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:35:00,0.0,24.75,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:36:00,0.0,24.5,24.5,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:37:00,0.0,24.75,25.25,25.25,25.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:38:00,0.0,24.75,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:39:00,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:40:00,0.0,24.25,24.5,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:41:00,0.0,25.5,25.5,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:42:00,0.0,24.5,24.75,24.75,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,0,2,0,0.0
stack1_h2_separator_level,2025-01-01 00:43:00,0.0,25.5,25.5,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,0,2,0,0.0
